,result,table,_start,_stop,_time,_value,_field,_measurement,device_type,location,sensor_id,source
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:00:00Z,27.352941176470587,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:03:00Z,26.625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:06:00Z,28.3125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:09:00Z,37.11764705882353,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:12:00Z,35.75,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:15:00Z,33.3125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:18:00Z,33.94117647058823,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:21:00Z,33.9375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:24:00Z,32.05882352941177,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:27:00Z,32.0625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:30:00Z,33.6875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:33:00Z,34.35294117647059,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:36:00Z,35.5625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:39:00Z,35.5625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:42:00Z,34,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:45:00Z,33.1875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:48:00Z,32.5,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:51:00Z,32.88235294117647,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:54:00Z,34.0625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T06:57:00Z,33.625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:00:00Z,35.1764705882353,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:03:00Z,36.125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:06:00Z,34.25,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:09:00Z,35.88235294117647,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:12:00Z,35.5,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:15:00Z,34.25,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:18:00Z,34.588235294117645,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:21:00Z,35.875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:24:00Z,35.11764705882353,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:27:00Z,35.25,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:30:00Z,35.1875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:33:00Z,33.8235294117647,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:36:00Z,35.8125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T07:39:00Z,34.5,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
